author_id,handle,N_tweets,created_at,followers_count,following_count,tweet_count,NG_unreliable_share,NG_score_mean
402719755,markamodeinv2,108,2011-11-01 13:43:55+00:00,17082,1168,1537,0.0,100.0
40282700,maelvirasalazar,1103,2009-05-15 17:04:40+00:00,160283,326,7983,0.23076923076923078,82.01923076923077
403790600,hastingsforil,127,2011-11-03 00:38:58+00:00,3438,1816,2562,0.0,95.5
404355121,judgejohncarter,41,2011-11-03 20:15:13+00:00,6354,4458,4154,0.36363636363636365,77.72727272727273
4049197462,lisabrochester,168,2015-10-26 22:17:18+00:00,14611,639,934,0.04,94.08
40557819,lacongresista,190,2009-05-16 22:43:33+00:00,24034,810,16157,0.0,100.0
4069841354,dwightevanspa,624,2015-10-30 15:15:26+00:00,5581,1224,12211,0.055900621118012424,94.19565217391305
407581201,ellertonwhitney,1,2011-11-08 08:02:44+00:00,48,73,51,,
408816873,jerrynadler,181,2011-11-09 22:46:48+00:00,23361,1664,1428,0.0,100.0
409522947,dr_raulruiz,25,2011-11-10 21:23:33+00:00,3380,188,242,0.0,100.0
409633688,frankcongress,739,2011-11-11 00:59:24+00:00,749,1482,2152,,
410053879,berniemoreno,1504,2011-11-11 15:38:45+00:00,12719,587,5819,0.125,87.81547619047619
41017380,alangrayson,408,2009-05-19 01:00:40+00:00,62037,201,5342,0.01680672268907563,91.99159663865547
4105010958,maebe_a_girl,2643,2015-11-02 19:43:46+00:00,9235,2424,6860,0.030303030303030304,89.28787878787878
411861905,angiecraigmn,643,2011-11-14 00:01:21+00:00,25711,313,3791,0.05092592592592592,94.47916666666667
41198239,johnmoolenaar,335,2009-05-19 20:11:06+00:00,1579,62,985,0.32432432432432434,74.74324324324324
41225640,suzandelbene,231,2009-05-19 22:14:44+00:00,6443,569,2184,0.03225806451612903,90.95161290322581
413160266,crapoforsenate,24,2011-11-15 15:11:44+00:00,1119,29,266,0.0,90.0
4133578035,kw4congress,211,2015-11-07 10:55:26+00:00,1065,131,5347,,
417339005,samuelsformo,16,2011-11-20 20:21:44+00:00,719,779,77,0.0,92.5
41873011,carriesolages,220,2009-05-22 18:40:09+00:00,1538,2195,2758,0.0,88.75
419133222,jwellingtontx,309,2011-11-23 00:32:55+00:00,12744,9250,8240,0.0,91.0909090909091
4212470319,lloydsmuckerpa,16,2015-11-17 20:19:06+00:00,1514,179,419,,
4228409359,jimmypanetta,54,2015-11-13 23:14:17+00:00,2303,71,599,0.0,95.55555555555556
4253672233,sheriffsjones,117,2015-11-16 06:03:41+00:00,994,83,308,0.3333333333333333,80.33333333333333
42777941,tomwongphd,9,2009-05-27 01:14:37+00:00,3047,1170,1332,0.0,100.0
428835548,steve_reichert,2,2011-12-05 07:17:52+00:00,12373,26,54,,
431105217,joshgottheimer,388,2011-12-07 22:45:24+00:00,7220,871,3491,0.01818181818181818,98.03636363636363
434343925,1haywood,24,2011-12-11 18:57:43+00:00,393,241,174,,
435331179,rashidatlaib,414,2011-12-12 23:07:37+00:00,1426547,2618,18853,0.038461538461538464,93.53846153846153
437223803,alexlasrywi,823,2011-12-15 04:40:09+00:00,22877,240,18531,0.08,93.96
43740218,rishikumar1,1558,2009-05-31 19:31:54+00:00,2546,1696,5967,0.02054794520547945,92.14041095890411
438665212,joshharder,418,2011-12-16 21:32:56+00:00,18912,200,2484,0.019230769230769232,97.3076923076923
43986986,beraforcongress,35,2009-06-01 22:15:55+00:00,4048,1319,1547,0.0,100.0
440497429,thejeremyhunt,212,2011-12-19 02:29:45+00:00,10917,879,1923,0.18181818181818182,84.9090909090909
44251742,juliabrownley,46,2009-06-03 00:44:33+00:00,4236,51,713,,
44288572,tonylanenv,450,2009-06-03 04:04:43+00:00,1267,952,3274,0.13636363636363635,70.68181818181819
44774107,realjohndennis,3306,2009-06-05 00:29:20+00:00,45923,892,12462,0.2698412698412698,68.91269841269842
453572185,bendiamondfl,826,2012-01-03 02:14:17+00:00,5670,1695,3422,0.013824884792626729,97.43778801843318
45645232,michaelbennet,614,2009-06-08 19:21:51+00:00,53458,2654,5633,0.045454545454545456,94.75
45828498,andyparkerva,1417,2009-06-09 12:46:58+00:00,53177,1319,4385,0.06060606060606061,92.53030303030303
459051498,donald_mceachin,317,2012-01-09 07:09:57+00:00,8423,1838,2595,0.0,90.86538461538461
45924487,clayaiken,92,2009-06-09 19:51:59+00:00,206893,357,227,0.0,91.54545454545455
45965658,andreaheeg,8,2009-06-09 22:37:42+00:00,46,415,10,1.0,47.5
4608082538,engelforarizona,621,2015-12-20 01:35:49+00:00,7074,659,3240,0.009009009009009009,92.06756756756756
46184745,reelectwittman,34,2009-06-10 18:23:29+00:00,2006,96,1262,0.23076923076923078,79.92307692307692
4624539143,vote_davidson,6,2015-12-27 19:22:18+00:00,1999,562,310,,
4632984534,votevicente,186,2015-12-22 19:56:45+00:00,2343,333,239,0.0,95.0
466532637,timryan,2203,2012-01-17 14:24:26+00:00,307492,2129,11143,0.023121387283236993,93.3742774566474
4669604480,andrearsalinas,170,2015-12-28 21:38:33+00:00,5796,710,712,0.0,89.53125
467891280,janmorganmedia,83,2012-01-18 23:28:32+00:00,14625,861,7346,0.6666666666666666,39.5
468552413,earlchildress,96,2012-01-19 17:20:03+00:00,276,107,298,0.0,94.25
4696552878,coribush,429,2016-01-02 14:36:12+00:00,862721,2092,8711,0.08333333333333333,86.83333333333333
4699063596,christysmithca,756,2016-01-02 23:14:42+00:00,92121,4133,4904,0.017857142857142856,93.41964285714286
47147054,surajpatelnyc,1544,2009-06-14 18:45:38+00:00,15763,4514,11992,0.0,91.23188405797102
